iter	Passed	Remaining
0	13	13591
1	50	25190
2	88	29273
3	112	28048
4	125	25024
5	137	22790
6	153	21813
7	164	20366
8	169	18664
9	181	17989
10	189	17035
11	210	17331
12	223	16957
13	239	16835
14	270	17790
15	302	18594
16	328	19018
17	349	19073
18	361	18674
19	376	18460
20	389	18162
21	406	18092
22	427	18162
23	449	18286
24	471	18386
25	499	18714
26	526	18963
27	564	19610
28	574	19231
29	587	18995
30	605	18927
31	626	18949
32	643	18861
33	656	18650
34	664	18330
35	678	18170
36	714	18596
37	738	18706
38	760	18736
39	782	18779
40	795	18600
41	822	18750
42	847	18871
43	874	19001
44	898	19068
45	922	19127
46	942	19102
47	961	19078
48	979	19005
49	999	18998
50	1019	18975
51	1038	18941
52	1058	18907
53	1069	18735
54	1089	18718
55	1109	18708
56	1131	18719
57	1142	18561
58	1165	18587
59	1188	18614
60	1210	18631
61	1232	18652
62	1254	18661
63	1274	18635
64	1282	18448
65	1301	18419
66	1321	18396
67	1331	18245
68	1351	18240
69	1372	18229
70	1391	18205
71	1410	18186
72	1431	18174
73	1451	18159
74	1465	18068
75	1483	18039
76	1497	17947
77	1516	17929
78	1537	17920
79	1559	17930
80	1579	17922
81	1599	17910
82	1620	17903
83	1639	17879
84	1660	17871
85	1679	17844
86	1698	17829
87	1716	17784
88	1735	17768
89	1746	17664
90	1760	17585
91	1781	17582
92	1801	17569
93	1821	17552
94	1838	17510
95	1857	17490
96	1876	17472
97	1902	17508
98	1935	17614
99	1970	17733
100	2012	17910
101	2048	18037
102	2082	18138
103	2117	18246
104	2143	18273
105	2177	18366
106	2213	18469
107	2248	18574
108	2283	18664
109	2304	18648
110	2323	18612
111	2340	18557
112	2371	18617
113	2392	18590
114	2412	18562
115	2429	18513
116	2448	18476
117	2469	18461
118	2488	18426
119	2493	18289
120	2513	18258
121	2532	18226
122	2552	18199
123	2572	18176
124	2593	18153
125	2612	18124
126	2633	18099
127	2643	18011
128	2663	17981
129	2685	17969
130	2705	17946
131	2724	17917
132	2743	17887
133	2752	17786
134	2770	17754
135	2790	17730
136	2811	17709
137	2830	17682
138	2855	17689
139	2890	17754
140	2927	17833
141	2961	17895
142	2987	17904
143	3008	17882
144	3031	17877
145	3050	17845
146	3056	17733
147	3075	17705
148	3095	17677
149	3112	17637
150	3136	17632
151	3156	17609
152	3177	17588
153	3196	17558
154	3215	17530
155	3236	17509
156	3256	17486
157	3278	17469
158	3298	17445
159	3317	17418
160	3337	17393
161	3358	17373
162	3380	17360
163	3401	17340
164	3421	17315
165	3441	17291
166	3461	17267
167	3481	17241
168	3501	17216
169	3521	17193
170	3541	17169
171	3562	17148
172	3583	17129
173	3602	17102
174	3622	17079
175	3645	17065
176	3664	17039
177	3683	17011
178	3703	16985
179	3722	16959
180	3742	16935
181	3762	16909
182	3781	16884
183	3803	16867
184	3822	16841
185	3843	16818
186	3863	16795
187	3887	16790
188	3909	16776
189	3928	16748
190	3948	16722
191	3967	16697
192	3987	16674
193	4008	16654
194	4035	16660
195	4055	16635
196	4075	16610
197	4094	16585
198	4113	16559
199	4134	16537
200	4154	16514
201	4174	16492
202	4194	16466
203	4218	16461
204	4244	16459
205	4260	16422
206	4280	16397
207	4299	16372
208	4319	16346
209	4324	16268
210	4344	16245
211	4365	16227
212	4389	16217
213	4411	16202
214	4433	16185
215	4473	16236
216	4503	16251
217	4525	16232
218	4544	16206
219	4564	16183
220	4569	16107
221	4591	16092
222	4611	16069
223	4632	16047
224	4654	16032
225	4677	16017
226	4696	15991
227	4714	15963
228	4735	15943
229	4755	15919
230	4774	15895
231	4795	15873
232	4816	15855
233	4838	15840
234	4861	15825
235	4882	15806
236	4903	15787
237	4917	15744
238	4937	15720
239	4955	15693
240	4975	15669
241	4989	15627
242	5008	15602
243	5028	15579
244	5054	15575
245	5074	15553
246	5096	15537
